id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
nan,nan,nan,305.87936504183125,38.522069205567554,nan,---,---,12.948863320643961,0.0031179350548770283,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.8788007900751,38.523041165202812,nan,---,---,12.903211048169061,0.0030530689349445219,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094187,306.00541120000003,38.5137687,306.00535492915157,38.513797966613218,0.19,---,---,9.7133577953827981,0.00070269353796739394,---,---,9.7899999618530273,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094116,305.94150710000002,38.500873900000002,305.9415556512941,38.500832850647477,0.20100000000000001,---,---,10.118573277891155,0.00084685500041734073,---,---,10.149999618530273,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094279,306.13654450000001,38.510809799999997,306.13646149810069,38.510787796801971,0.247,---,---,10.879981481439613,0.0012025155386860371,---,---,10.772000312805176,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094185,305.99860740000003,38.502648100000002,305.99906471879757,38.502991508202783,1.786,---,---,12.193233333410941,0.0022016134379047375,---,---,12.293999671936035,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.99821091860002,38.502422301147298,nan,---,---,12.206697339729017,0.0022153067389068279,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094184,305.99809269999997,38.530006200000003,305.99772989500576,38.529881082143248,1.117,---,---,10.986000061035156,0.001262683230984924,---,---,10.986000061035156,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.88018112425954,38.523222621190335,nan,---,---,13.037357678635468,0.0032476254522587835,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87569340024982,38.564641976302113,nan,---,---,14.073064234260364,0.0052324760301230757,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094015,305.84486529999998,38.551489799999999,305.84505804268747,38.551580757910536,0.63400000000000001,---,---,11.966784813892742,0.0019835875028242833,---,---,11.96399974822998,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094197,306.01940889999997,38.5381334,306.01946393331855,38.538223877070955,0.36099999999999999,---,---,9.7593622871257857,0.00071773951700009042,---,---,9.8629999160766602,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-093975,305.80028859999999,38.5247387,305.80050755389669,38.524883851510516,0.80800000000000005,---,---,12.439280257951665,0.002465758008055556,---,---,12.218999862670898,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.99854379800223,38.530373251628632,nan,---,---,10.985885705802453,0.0012626167366412444,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.858441907908,38.512390525707438,nan,---,---,20.887645061627815,0.1206766965141868,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.88006668170658,38.522691477533996,nan,---,---,13.016825347762065,0.0032170622919261232,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
642-092649,305.8279359,38.388335599999998,305.82786546342123,38.38788617447851,1.6299999999999999,---,---,11.173714063727164,0.0014186340461042311,---,---,11.159999847412109,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.9540529599073,38.399665224622311,nan,---,---,14.21972677549731,0.0057686331416465838,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094286,306.15079300000002,38.443072800000003,306.15061257982956,38.44279482987416,1.123,---,---,12.396092868987106,0.0024908417667568153,---,---,12.265999794006348,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,306.15116124263682,38.443229422167363,nan,---,---,12.36293817166497,0.0024530997033437112,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094162,305.97926330000001,38.466352000000001,305.9792950984434,38.466196535824153,0.56699999999999995,---,---,10.178556127818087,0.00089709573342629321,---,---,10.163000106811523,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094261,306.10511059999999,38.485246400000001,306.10509408963964,38.485154610193057,0.33400000000000002,---,---,10.408396502848564,0.00099725647822571247,---,---,10.309000015258789,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094105,305.92853769999999,38.475976199999998,305.92897498675239,38.476111652571639,1.325,---,---,12.094202979000453,0.002167545193998643,---,---,12.53600025177002,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094203,306.02728089999999,38.492551200000001,306.02726354475112,38.492449575645416,0.36899999999999999,---,---,9.8315754148819572,0.00076461470943735234,---,---,9.8920001983642578,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094143,305.96252529999998,38.492860899999997,305.96235858658372,38.492675745777767,0.81499999999999995,---,---,9.0517642688056874,0.00053392520045676608,---,---,9.369999885559082,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094163,305.97948680000002,38.485575900000001,305.97991266200103,38.485779439474392,1.4059999999999999,---,---,12.219267137497582,0.0022960481594531896,---,---,12.270999908447266,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.97931197354603,38.485719309691135,nan,---,---,12.231902008159823,0.0023094468259639844,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094180,305.9956353,38.560020000000002,305.99542295153606,38.560077698657764,0.63300000000000001,---,---,10.958911085997077,0.0012850196915574089,---,---,10.866999626159668,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.80173043092236,38.574727719610699,nan,---,---,13.246976809328952,0.0036857249919691917,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094116,305.94150710000002,38.500873900000002,305.94142880062094,38.500673185160515,0.755,---,---,10.136285402215218,0.00087980139461471107,---,---,10.149999618530273,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094279,306.13654450000001,38.510809799999997,306.13651592912356,38.510773312409029,0.154,---,---,10.877747438027459,0.0012378757444063302,---,---,10.772000312805176,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094185,305.99860740000003,38.502648100000002,305.99895918225934,38.502855031492302,1.24,---,---,12.361988843367072,0.0024520274871018396,---,---,12.293999671936035,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094015,305.84486529999998,38.551489799999999,305.84474256623247,38.551500629991324,0.34799999999999998,---,---,11.896075562357534,0.0019785301746221614,---,---,11.96399974822998,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094197,306.01940889999997,38.5381334,306.01913325599071,38.538112438257826,0.78000000000000003,---,---,9.7866161058485233,0.00074894648487883436,---,---,9.8629999160766602,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094187,306.00541120000003,38.5137687,306.00549541019353,38.513723712396128,0.28699999999999998,---,---,9.7332011859440968,0.00073074828168015037,---,---,9.7899999618530273,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.87087617223978,38.51327446976638,nan,---,---,14.137231587153732,0.0055535908788732031,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094184,305.99809269999997,38.530006200000003,305.99792931808116,38.529920038308056,0.55500000000000005,---,---,11.054107472711763,0.0013426074730232542,---,---,10.986000061035156,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
642-092848,306.1662642,38.362914500000002,306.16616431038108,38.362791298309695,0.52600000000000002,---,---,13.28407473593203,0.0037148165741689759,---,---,12.796999931335449,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
642-092649,305.8279359,38.388335599999998,305.82815738496691,38.388163618882935,0.88,---,---,11.173233217688873,0.0014053000797195415,---,---,11.159999847412109,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094177,305.9947009,38.432565599999997,305.99469934363384,38.432454341944478,0.40100000000000002,---,---,12.60949630491432,0.0027228372811412115,---,---,13.013999938964844,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094286,306.15079300000002,38.443072800000003,306.15086656148151,38.443092049776808,0.219,---,---,12.194612618859701,0.0022492874035900871,---,---,12.265999794006348,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094162,305.97926330000001,38.466352000000001,305.97941059994417,38.466336942592996,0.41899999999999998,---,---,10.186644616221219,0.00089217767280383204,---,---,10.163000106811523,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094068,305.89056649999998,38.458473400000003,305.89064052152725,38.458407649804116,0.316,---,---,12.808059469124967,0.0029835568753330383,---,---,12.605999946594238,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094261,306.10511059999999,38.485246400000001,306.10514412699752,38.485294237888553,0.19600000000000001,---,---,10.444162472621793,0.0010045115203888514,---,---,10.309000015258789,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094105,305.92853769999999,38.475976199999998,305.92860778791976,38.475942733717801,0.23100000000000001,---,---,12.032579037125746,0.0020875564818797839,---,---,12.53600025177002,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094113,305.93933240000001,38.476383400000003,305.93923574538212,38.476187860225032,0.755,---,---,12.088265557118666,0.0021417833534455033,---,---,12.918999671936035,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,305.93915427798174,38.476429014277358,nan,---,---,12.069748358681171,0.0021235969802077363,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094203,306.02728089999999,38.492551200000001,306.02739019003951,38.49256704570039,0.313,---,---,9.8117223443154131,0.00075070083031948199,---,---,9.8920001983642578,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094163,305.97948680000002,38.485575900000001,305.97943660141118,38.485516161814949,0.25700000000000001,---,---,12.389651795166289,0.0024606666680956788,---,---,12.270999908447266,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094143,305.96252529999998,38.492860899999997,305.96258005649094,38.492824446917119,0.20300000000000001,---,---,9.0587392817163881,0.00053072590184960304,---,---,9.369999885559082,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,305.9805333849269,38.485993431267708,nan,---,---,12.368592757281803,0.0024369183534265646,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094038,305.86611620000002,38.4835037,305.86622108401048,38.483420982730237,0.41999999999999998,---,---,13.394993737980721,0.0039094996173195673,---,---,12.996000289916992,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,305.86702802982421,38.512940070618356,nan,---,---,14.430990408644799,0.0062997092954293022,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-093978,305.80089859999998,38.574953100000002,305.8011324018093,38.57448100812681,1.8220000000000001,---,---,12.391892053251016,0.0024632065912028257,---,---,11.065999984741211,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,306.04445074479446,38.497106671347836,nan,---,---,13.293748699816895,0.0037314030941482624,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094187,306.00541120000003,38.5137687,306.00550381610202,38.513814925018714,0.309,---,---,9.7551433444633844,0.00073139349978176447,---,---,9.7899999618530273,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094279,306.13654450000001,38.510809799999997,306.1365315575419,38.510889489665182,0.28899999999999998,---,---,10.900662133695635,0.0012395237545044131,---,---,10.772000312805176,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094185,305.99860740000003,38.502648100000002,305.99865422114948,38.502669581168341,0.153,---,---,12.554865104773594,0.0026551890496326271,---,---,12.293999671936035,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094116,305.94150710000002,38.500873900000002,305.94167650933434,38.500830445693779,0.502,---,---,10.120599098435626,0.00086545052765479142,---,---,10.149999618530273,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094015,305.84486529999998,38.551489799999999,305.84491422379602,38.551468175989726,0.158,---,---,11.974733233410054,0.0020326802807029611,---,---,11.96399974822998,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094243,306.07185770000001,38.5204831,306.07188239560202,38.520498816409386,0.089999999999999997,---,---,12.728133975115579,0.0028757373786069095,---,---,12.840000152587891,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,305.85221013345273,38.522569938258947,nan,---,---,13.922394626819242,0.0049842676188123786,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094197,306.01940889999997,38.5381334,306.01936387115762,38.538193154749244,0.25,---,---,9.7506627744834944,0.00072988591388717557,---,---,9.8629999160766602,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094184,305.99809269999997,38.530006200000003,305.99811469023706,38.529997820350246,0.069000000000000006,---,---,10.955087232797817,0.0012709833869485219,---,---,10.986000061035156,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094119,305.94267980000001,38.521173400000002,305.94258077494305,38.521147942303926,0.29399999999999998,---,---,12.946266293567485,0.0031796234118504903,---,---,12.956999778747559,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094180,305.9956353,38.560020000000002,305.99570072054792,38.560137483606226,0.46100000000000002,---,---,10.974945238416097,0.0012826597745045545,---,---,10.866999626159668,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
642-092649,305.8279359,38.388335599999998,305.82815481615148,38.387996670588585,1.3680000000000001,---,---,11.265249858574895,0.0015430974244025331,---,---,11.159999847412109,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094286,306.15079300000002,38.443072800000003,306.15063415432866,38.442991096099071,0.53600000000000003,---,---,12.243155468614846,0.0024208867217320818,---,---,12.265999794006348,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
nan,nan,nan,306.15148111815552,38.443436080795337,nan,---,---,12.253964458245349,0.0024329672687587642,---,---,nan,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094162,305.97926330000001,38.466352000000001,305.97936187218983,38.466314095328237,0.31,---,---,10.141077220730569,0.00091951500117175538,---,---,10.163000106811523,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094261,306.10511059999999,38.485246400000001,306.10518936002086,38.485285342488787,0.26300000000000001,---,---,10.395186552635067,0.001033667080023636,---,---,10.309000015258789,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094105,305.92853769999999,38.475976199999998,305.92834382471665,38.47595567471928,0.55100000000000005,---,---,11.964056055672465,0.0021288966854198562,---,---,12.53600025177002,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
nan,nan,nan,305.92912616711777,38.476154406679825,nan,---,---,11.903085440323638,0.0020699528959751356,---,---,nan,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094203,306.02728089999999,38.492551200000001,306.0273145328652,38.4925219748106,0.14199999999999999,---,---,9.7945150257459019,0.00078387421670761924,---,---,9.8920001983642578,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094163,305.97948680000002,38.485575900000001,305.97932743732434,38.485488161407567,0.54900000000000004,---,---,12.356943868134309,0.0025511274060714974,---,---,12.270999908447266,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094143,305.96252529999998,38.492860899999997,305.96249259212249,38.492696059810392,0.60099999999999998,---,---,9.001962906126181,0.00054417170453711287,---,---,9.369999885559082,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094180,305.9956353,38.560020000000002,305.99548080648213,38.560044390546707,0.44400000000000001,---,---,10.904159545461727,0.0013066981726269054,---,---,10.866999626159668,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094185,305.99860740000003,38.502648100000002,305.99811356936226,38.50236906609053,1.716,---,---,12.348913151097021,0.0025417100426105765,---,---,12.293999671936035,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
nan,nan,nan,305.99934833282845,38.502899629915973,nan,---,---,12.338722719411983,0.0025298100791879049,---,---,nan,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094279,306.13654450000001,38.510809799999997,306.13658077646869,38.510864350894671,0.221,---,---,10.809084390237651,0.0012507204553013729,---,---,10.772000312805176,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
nan,nan,nan,305.99865692000532,38.502924037631296,nan,---,---,12.330475359497949,0.0025202199584367017,---,---,nan,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094184,305.99809269999997,38.530006200000003,305.99804998336214,38.529983964597882,0.14499999999999999,---,---,11.007922947116109,0.0013706543984772365,---,---,10.986000061035156,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094015,305.84486529999998,38.551489799999999,305.84473798888001,38.551364984411414,0.57499999999999996,---,---,12.000095859035302,0.0021645247021704018,---,---,11.96399974822998,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094197,306.01940889999997,38.5381334,306.01937297184776,38.538149700470449,0.11700000000000001,---,---,9.7379044273918289,0.00076370258416393066,---,---,9.8629999160766602,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
643-094116,305.94150710000002,38.500873900000002,305.94141800903611,38.500709408219649,0.64300000000000002,---,---,10.065727811837903,0.00088815535166787208,---,---,10.149999618530273,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
